,balance,冗長ラベル（日本語）,冗長ラベル（英語）,標準ラベル（英語）,標準ラベル（日本語）,color
過年度法人税等戻入額_down,debit ,過年度法人税等戻入額、法人税等 ,Refund of income taxes for prior periods-income taxes ,Refund of income taxes for prior periods ,過年度法人税等戻入額 ,cyan
過年度退職給付費用_down,debit ,過年度退職給付費用、特別損失 ,Retirement benefit expenses for prior periods-EL ,Retirement benefit expenses for prior periods ,過年度退職給付費用 ,cyan
道路建設関係社債_down,credit ,道路建設関係社債、固定負債、高速道路事業 ,Road-building bonds payable-NCL-HWY ,Road-building bonds payable ,道路建設関係社債 ,cyan
道路建設関係社債発行費_down,debit ,道路建設関係社債発行費、繰延資産、高速道路事業 ,Road-building bond issuance cost-DA-HWY ,Road-building bond issuance cost ,道路建設関係社債発行費 ,cyan
道路建設関係長期借入金_down,credit ,道路建設関係長期借入金、固定負債、高速道路事業 ,Long-term borrowings from road - building - NCL - HWY ,Long-term borrowings from road - building ,道路建設関係長期借入金 ,cyan
道路資産完成原価_down,debit ,道路資産完成原価、営業費用、高速道路事業営業損益、高速道路事業 ,Cost of sales of completed highway construction contracts-operating expense-highway business-HWY ,Cost of sales of completed highway construction contracts ,道路資産完成原価 ,cyan
道路資産完成高_down,credit ,道路資産完成高、営業収益、高速道路事業営業損益、高速道路事業 ,Sales of completed highway construction contracts-operating revenue-highway business-HWY ,Sales of completed highway construction contracts ,道路資産完成高 ,cyan
道路資産賃借料_down,debit ,道路資産賃借料、営業費用、高速道路事業営業損益、高速道路事業 ,Rent expenses on highway assets-operating expenses-highway business-HWY ,Rent expenses on highway assets ,道路資産賃借料 ,cyan
違約金収入_down,credit ,違約金収入、特別利益 ,Penalty income-EI ,Penalty income ,違約金収入 ,cyan
還付加算金_down,credit ,還付加算金、営業外収益 ,Interest on tax refund - NOI ,Interest on tax refund ,還付加算金 ,cyan
還付消費税等_down,credit ,還付消費税等、営業外収益 ,Refunded consumption taxes-NOI ,Refunded consumption taxes ,還付消費税等 ,cyan
配当平均積立金_down,credit ,配当平均積立金 ,Reserve for dividend equalization ,Reserve for dividend equalization ,配当平均積立金 ,cyan
配当引当積立金_down,credit ,配当引当積立金 ,Reserve for dividends-4 ,Reserve for dividends ,配当引当積立金 ,cyan
配当準備積立金_down,credit ,配当準備積立金 ,Reserve for dividends-3 ,Reserve for dividends ,配当準備積立金 ,cyan
配当準備金_down,credit ,配当準備金 ,Reserve for dividends-2 ,Reserve for dividends ,配当準備金 ,cyan
配当積立金_down,credit ,配当積立金 ,Reserve for dividends-1 ,Reserve for dividends ,配当積立金 ,cyan
配送費_down,debit ,配送費、販売費及び一般管理費 ,Distribution expenses-SGA ,Distribution expenses ,配送費 ,cyan
配電設備_down,debit ,配電設備、電気事業固定資産、電気事業 ,Distribution facilities-NCA-electric-ELE ,Distribution facilities ,配電設備 ,cyan
配電費_down,debit ,配電費、電気事業営業費用、電気事業 ,Distribution expenses-OE-electric-ELE ,Distribution expenses ,配電費 ,cyan
金利スワップ_down,debit ,金利スワップ、流動資産 ,Interest rate swaps-CA ,Interest rate swaps ,金利スワップ ,cyan
金利スワップ受入利息_down,credit ,金利スワップ受入利息、経常収益、銀行業 ,Interest income on interest rate swaps - OI - BNK ,Interest income on interest rate swaps ,金利スワップ受入利息 ,cyan
金利スワップ支払利息_down,debit ,金利スワップ支払利息、経常費用、銀行業 ,Interest expenses on interest rate swaps - OE - BNK ,Interest expenses on interest rate swaps ,金利スワップ支払利息 ,cyan
金利スワップ評価損_down,debit ,金利スワップ評価損、営業外費用 ,Loss on valuation of interest rate swaps - NOE ,Loss on valuation of interest rate swaps ,金利スワップ評価損 ,cyan
金利スワップ評価益_down,credit ,金利スワップ評価益、営業外収益 ,Gain on valuation of interest-rate swaps-NOI ,Gain on valuation of interest rate swaps ,金利スワップ評価益 ,cyan
金利スワップ負債_down,credit ,金利スワップ負債、流動負債 ,Interest rate swap liabilities-CL ,Interest rate swap liabilities ,金利スワップ負債 ,cyan
金利スワップ資産_down,debit ,金利スワップ資産、流動資産 ,Interest rate swap assets-CA ,Interest rate swap assets ,金利スワップ資産 ,cyan
金融収益_down,credit ,金融収益 ,Financial revenue ,Financial revenue ,金融収益 ,cyan
金融商品取引責任準備金_down,credit ,金融商品取引責任準備金、負債の部、保険業 ,Reserve for financial instruments transaction liabilities - Liabilities - INS ,Reserve for financial instruments transaction liabilities ,金融商品取引責任準備金 ,cyan
金融商品取引責任準備金取崩額_down,credit ,金融商品取引責任準備金取崩額、特別利益、銀行業 ,Reversal of reserve for financial instruments transaction liabilities - EI - BNK ,Reversal of reserve for financial instruments transaction liabilities ,金融商品取引責任準備金取崩額 ,cyan
金融商品取引責任準備金戻入_down,credit ,金融商品取引責任準備金戻入、特別利益、第一種金融商品取引業 ,Reversal of reserve for financial instruments transaction liabilities - EI - SEC ,Reversal of reserve for financial instruments transaction liabilities ,金融商品取引責任準備金戻入 ,cyan
金融商品取引責任準備金繰入れ_down,debit ,金融商品取引責任準備金繰入れ、特別損失、第一種金融商品取引業 ,Provision of reserve for financial instruments transaction liabilities - EL - SEC ,Provision of reserve for financial instruments transaction liabilities ,金融商品取引責任準備金繰入れ ,cyan
金融商品取引責任準備金繰入額_down,debit ,金融商品取引責任準備金繰入額、特別損失、銀行業 ,Provision of reserve for financial instruments transaction liabilities - EL - BNK ,Provision of reserve for financial instruments transaction liabilities ,金融商品取引責任準備金繰入額 ,cyan
金融商品取引責任準備預託金_down,debit ,金融商品取引責任準備預託金、流動資産、第一種金融商品取引業 ,Cash segregated as deposits for financial instruments transaction liabilities - CA - SEC ,Cash segregated as deposits for financial instruments transaction liabilities ,金融商品取引責任準備預託金 ,cyan
金融商品等受入担保金_down,credit ,金融商品等受入担保金、負債の部 ,Cash collateral received for financial instruments-liabilities ,Cash collateral received for financial instruments ,金融商品等受入担保金 ,cyan
金融商品等差入担保金_down,debit ,金融商品等差入担保金、資産の部 ,Cash collateral paid for financial instruments-assets ,Cash collateral paid for financial instruments ,金融商品等差入担保金 ,cyan
金融派生商品_down,debit ,金融派生商品、資産の部、保険業 ,Derivatives other than for trading-assets-assets-INS ,Derivatives other than for trading - assets ,金融派生商品 ,cyan
金融派生商品収益_down,credit ,金融派生商品収益、経常収益、銀行業 ,Income from derivatives other than for trading or hedging-OI-BNK ,Income from derivatives other than for trading or hedging ,金融派生商品収益 ,cyan
金融派生商品費用_down,debit ,金融派生商品費用、経常費用、銀行業 ,Expenses on derivatives other than for trading or hedging-OE-BNK ,Expenses on derivatives other than for trading or hedging ,金融派生商品費用 ,cyan
金融費用_down,debit ,金融費用 ,Financial expenses ,Financial expenses ,金融費用 ,cyan
金銭の信託_down,debit ,金銭の信託、資産の部、銀行業 ,Money held in trust-assets-BNK ,Money held in trust ,金銭の信託 ,cyan
金銭の信託運用損_down,debit ,金銭の信託運用損、営業外費用 ,Loss on investments in money held in trust-NOE ,Loss on investments in money held in trust ,金銭の信託運用損 ,cyan
金銭の信託運用益_down,credit ,金銭の信託運用益、経常収益、保険業 ,Gain on money held in trust - OI - INS ,Gain on money held in trust ,金銭の信託運用益 ,cyan
金銭債権信託受益権_down,debit ,金銭債権信託受益権 ,Beneficial interests in receivables trust ,Beneficial interests in receivables trust ,金銭債権信託受益権 ,cyan
鉄軌道事業_down,debit ,鉄軌道事業、建設仮勘定、鉄道事業 ,Construction in progress - railway (including tramway) - RWY ,Construction in progress - railway (including tramway) ,鉄軌道事業 ,cyan
鉄軌道事業営業収益_down,credit ,鉄軌道事業営業収益、鉄道事業 ,Operating revenue - railway (including tramway) - RWY ,Operating revenue - railway (including tramway) ,鉄軌道事業営業収益 ,cyan
鉄軌道事業営業費_down,debit ,鉄軌道事業営業費、鉄道事業 ,Operating expenses - railway (including tramway) - RWY ,Operating expenses - railway (including tramway) ,鉄軌道事業営業費 ,cyan
鉄軌道事業固定資産_down,debit ,鉄軌道事業固定資産、鉄道事業 ,Non-current assets - railway (including tramway) - RWY ,Non-current assets - railway (including tramway) ,鉄軌道事業固定資産 ,cyan
鉄道・運輸機構長期未払金_down,credit ,鉄道・運輸機構長期未払金、固定負債、鉄道事業 ,"Long-term accounts payable to Japan railway construction, transport and technology agency-NCL-RWY ","Long-term accounts payable to Japan railway construction, transport and technology agency ",鉄道・運輸機構長期未払金 ,cyan
鉄道事業_down,debit ,鉄道事業、建設仮勘定、鉄道事業 ,Construction in progress-railway-RWY ,Construction in progress - railway ,鉄道事業 ,cyan
鉄道事業営業収益_down,credit ,鉄道事業営業収益、鉄道事業 ,Operating revenue-railway-RWY ,Operating revenue - railway ,鉄道事業営業収益 ,cyan
鉄道事業営業費_down,debit ,鉄道事業営業費、鉄道事業 ,Operating expenses-railway-RWY ,Operating expenses - railway ,鉄道事業営業費 ,cyan
鉄道事業固定資産_down,debit ,鉄道事業固定資産、鉄道事業 ,Non-current assets - railway-RWY ,Non-current assets - railway ,鉄道事業固定資産 ,cyan
鉄道施設受贈財産評価額_down,credit ,鉄道施設受贈財産評価額、特別利益、鉄道事業 ,Assessed value of railway facilities received as donation - EI - RWY ,Assessed value of railway facilities received as donation ,鉄道施設受贈財産評価額 ,cyan
鉄道施設建設受入寄附金_down,credit ,鉄道施設建設受入寄附金、特別利益、鉄道事業 ,Donations received for construction of railway facilities - EI - RWY ,Donations received for construction of railway facilities ,鉄道施設建設受入寄附金 ,cyan
鉄道施設購入未払金_down,credit ,鉄道施設購入未払金、流動負債、鉄道事業 ,Accounts payable - railway facilities - CL - RWY ,Accounts payable - railway facilities ,鉄道施設購入未払金 ,cyan
鉄道施設購入長期未払金_down,credit ,1年内に支払う鉄道施設購入長期未払金、流動負債、鉄道事業 ,Current portion of long-term accounts payable - railway facilities - CL - RWY ,Current portion of long-term accounts payable - railway facilities ,鉄道施設購入長期未払金 ,cyan
鉄道施設購入長期未払金利息_down,debit ,鉄道施設購入長期未払金利息、鉄道事業 ,Interests on long term accounts payable - railway facilities - RWY ,Interest on long-term accounts payable - railway facilities ,鉄道施設購入長期未払金利息 ,cyan
鉄道施設購入長期未払金返済損_down,debit ,鉄道施設購入長期未払金返済損、鉄道事業 ,Loss on long term accounts payable-railway facilities-RWY ,Loss on long-term accounts payable - railway facilities ,鉄道施設購入長期未払金返済損 ,cyan
